Case_ID,Lead_ID,Case_Type,Paralegal_Assigned,Status,Open_Date,Settled_Date,Gross_Settlement_Amount,Case_Notes,Lead_Source,Date_Acquired,Marketing_Cost,Days_to_Settle,Firm_Revenue,Net_Profit,AI_Predicted_Severity
C-5000,L-1000,Medical Malpractice,David Walsh,Open,2023-10-17,,0.0,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Google Ads,2023-10-17,1585.03,0.0,0.0,-1585.03,Medium
C-5001,L-1001,Medical Malpractice,Mike Torres,Settled,2022-04-25,2023-06-10,120639.48,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout.",Organic,2022-04-25,0.0,411.0,40172.946840000004,40172.946840000004,Low
C-5002,L-1002,Car Accident,Sarah Jenkins,Settled,2022-01-26,2023-04-17,351029.18,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Referrals,2022-01-26,441.19,446.0,116892.71694,116451.52694,Medium
C-5003,L-1003,Slip & Fall,David Walsh,Settled,2022-10-09,2023-12-23,276179.05,T-boned at intersection. Multiple broken ribs and internal bleeding.,Billboards,2022-10-09,3304.85,440.0,91967.62365,88662.77364999999,High
C-5004,L-1004,Slip & Fall,Mike Torres,Settled,2022-09-08,2023-02-06,361358.84,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Google Ads,2022-09-08,864.5,151.0,120332.49372000001,119467.99372000001,High
C-5005,L-1005,Car Accident,Jessica Lin,Open,2022-08-17,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Referrals,2022-08-17,236.49,0.0,0.0,-236.49,High
C-5006,L-1006,Slip & Fall,David Walsh,Settled,2022-05-23,2023-06-06,355446.38,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Organic,2022-05-23,0.0,379.0,118363.64454000001,118363.64454000001,High
C-5007,L-1007,Slip & Fall,Sarah Jenkins,Settled,2022-04-15,2023-01-07,246744.18,Minor fender bender. Client complains of back pain but no visible injuries.,Billboards,2022-04-15,2628.24,267.0,82165.81194,79537.57194,Low
C-5008,L-1008,Car Accident,Jessica Lin,Open,2023-11-24,,0.0,Dog bite incident. Severe lacerations on right arm. Requires reconstructive surgery.,Google Ads,2023-11-24,641.49,0.0,0.0,-641.49,High
C-5009,L-1009,Slip & Fall,Mike Torres,Settled,2023-07-13,2024-09-13,176198.33,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Google Ads,2023-07-13,1488.47,428.0,58674.04389,57185.57389,Medium
C-5010,L-1010,Car Accident,David Walsh,Settled,2022-03-31,2023-03-15,296681.32,T-boned at intersection. Multiple broken ribs and internal bleeding.,Billboards,2022-03-31,2417.19,349.0,98794.87956,96377.68956,High
C-5011,L-1011,Car Accident,Mike Torres,Open,2023-08-28,,0.0,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout.",Referrals,2023-08-28,205.55,0.0,0.0,-205.55,Low
C-5012,L-1012,Car Accident,David Walsh,Settled,2023-03-09,2023-06-13,384565.4,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Billboards,2023-03-09,4455.35,96.0,128060.27820000002,123604.92820000001,High
C-5013,L-1013,Slip & Fall,Sarah Jenkins,Settled,2022-02-02,2023-01-08,60909.41,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Referrals,2022-02-02,27.09,340.0,20282.833530000004,20255.743530000003,Medium
C-5014,L-1014,Slip & Fall,David Walsh,Open,2022-01-31,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.,Referrals,2022-01-31,326.73,0.0,0.0,-326.73,Low
C-5015,L-1015,Car Accident,Sarah Jenkins,Open,2022-04-06,,0.0,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Google Ads,2022-04-06,1469.27,0.0,0.0,-1469.27,High
C-5016,L-1016,Medical Malpractice,Sarah Jenkins,Settled,2022-08-12,2023-05-14,291479.52,Minor fender bender. Client complains of back pain but no visible injuries.,Organic,2022-08-12,0.0,275.0,97062.68016000002,97062.68016000002,Low
C-5017,L-1017,Medical Malpractice,Mike Torres,Open,2022-08-27,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.,Google Ads,2022-08-27,590.92,0.0,0.0,-590.92,Low
C-5018,L-1018,Slip & Fall,Jessica Lin,Open,2023-06-02,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.,Referrals,2023-06-02,364.11,0.0,0.0,-364.11,High
C-5019,L-1019,Medical Malpractice,David Walsh,Settled,2023-09-09,2024-07-30,322679.26,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Billboards,2023-09-09,4202.37,325.0,107452.19358,103249.82358000001,High
C-5020,L-1020,Slip & Fall,Jessica Lin,Settled,2022-01-28,2022-12-06,91619.58,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout.",Organic,2022-01-28,0.0,312.0,30509.320140000003,30509.320140000003,Low
C-5021,L-1021,Medical Malpractice,David Walsh,Settled,2023-07-29,2024-07-20,434981.07,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Google Ads,2023-07-29,663.9,357.0,144848.69631,144184.79631,Medium
C-5022,L-1022,Car Accident,Jessica Lin,Open,2022-07-23,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.,Google Ads,2022-07-23,787.39,0.0,0.0,-787.39,Low
C-5023,L-1023,Medical Malpractice,Sarah Jenkins,Settled,2023-10-28,2024-06-12,282921.87,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Billboards,2023-10-28,3145.14,228.0,94212.98271,91067.84271,High
C-5024,L-1024,Car Accident,Mike Torres,Settled,2023-07-13,2024-07-12,351969.03,Minor fender bender. Client complains of back pain but no visible injuries.,Referrals,2023-07-13,70.09,365.0,117205.68699000002,117135.59699000002,Low
C-5025,L-1025,Medical Malpractice,David Walsh,Settled,2023-03-06,2024-01-28,204474.9,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Google Ads,2023-03-06,775.23,328.0,68090.14170000001,67314.91170000001,High
C-5026,L-1026,Medical Malpractice,David Walsh,Dropped,2022-08-14,,0.0,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout.",Referrals,2022-08-14,231.31,0.0,0.0,-231.31,Low
C-5027,L-1027,Car Accident,Jessica Lin,Open,2023-04-05,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Referrals,2023-04-05,437.24,0.0,0.0,-437.24,High
C-5028,L-1028,Car Accident,Jessica Lin,Settled,2023-08-27,2024-09-23,131752.06,T-boned at intersection. Multiple broken ribs and internal bleeding.,Google Ads,2023-08-27,613.08,393.0,43873.43598,43260.35598,High
C-5029,L-1029,Car Accident,Sarah Jenkins,Settled,2022-10-12,2023-05-15,376367.99,Dog bite incident. Severe lacerations on right arm. Requires reconstructive surgery.,Referrals,2022-10-12,404.01,215.0,125330.54067,124926.53067000001,High
C-5030,L-1030,Slip & Fall,David Walsh,Settled,2022-01-07,2022-05-21,136333.79,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Organic,2022-01-07,0.0,134.0,45399.152070000004,45399.152070000004,Medium
C-5031,L-1031,Medical Malpractice,Jessica Lin,Dropped,2022-06-13,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Billboards,2022-06-13,4423.87,0.0,0.0,-4423.87,High
C-5032,L-1032,Medical Malpractice,Jessica Lin,Open,2023-03-09,,0.0,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Google Ads,2023-03-09,646.86,0.0,0.0,-646.86,Medium
C-5033,L-1033,Slip & Fall,Mike Torres,Settled,2022-12-15,2023-10-31,121080.6,Minor fender bender. Client complains of back pain but no visible injuries.,Organic,2022-12-15,0.0,320.0,40319.8398,40319.8398,Low
C-5034,L-1034,Car Accident,Jessica Lin,Settled,2022-10-12,2023-09-04,262884.6,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Billboards,2022-10-12,3608.58,327.0,87540.57179999999,83931.99179999999,Medium
C-5035,L-1035,Medical Malpractice,Jessica Lin,Settled,2022-06-09,2023-08-15,179860.35,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Billboards,2022-06-09,3162.35,432.0,59893.49655,56731.146550000005,High
C-5036,L-1036,Car Accident,Sarah Jenkins,Settled,2022-08-09,2022-11-21,230023.33,Dog bite incident. Severe lacerations on right arm. Requires reconstructive surgery.,Google Ads,2022-08-09,522.14,104.0,76597.76889,76075.62889,High
C-5037,L-1037,Slip & Fall,Jessica Lin,Settled,2022-12-11,2023-08-24,94100.34,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Google Ads,2022-12-11,639.89,256.0,31335.413220000002,30695.523220000003,High
C-5038,L-1038,Medical Malpractice,Mike Torres,Settled,2022-04-15,2022-10-30,169348.86,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Google Ads,2022-04-15,1630.35,198.0,56393.170379999996,54762.82038,High
C-5039,L-1039,Car Accident,Jessica Lin,Settled,2022-04-05,2022-11-13,163047.4,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Google Ads,2022-04-05,854.57,222.0,54294.7842,53440.2142,Medium
C-5040,L-1040,Slip & Fall,Sarah Jenkins,Settled,2023-01-25,2024-02-24,320014.93,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Billboards,2023-01-25,2625.66,395.0,106564.97169,103939.31169,Medium
