Prospect ID,Firm Name,Website,Contact Page URL,Public Business Email,Secondary Public Email,Phone Number,City,State,Practice Area,Decision Maker Name,Decision Maker Title,Decision Maker LinkedIn URL,Firm LinkedIn URL,Estimated Firm Size,Founder-Led Signal,Main Pain Signal,Authority Score,Pain Score,Payment Capacity Score,Ease of Entry Score,Total Score,Tier,Personalization Observation,Outreach Angle,Evidence / Source Notes,Public Source URL for Email,Status
TX-IMM-00001,"Abogado Ruiz Law Firm, PLLC",http://www.RuizLawyer.com/,http://www.RuizLawyer.com/,alberto@ruizlawyer.com,,+713-234-7894,Houston,Texas,"Alternative Dispute Resolution, Business, Criminal, Family, Litigation: Personal Injury, Law Office Management, Real Estate, Wills-Trusts-Probate, Elder Law, Entertainment, Immigration, Construction",Adalberto Eduardo Ruiz,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Abogado Ruiz Law Firm, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, bilingual positioning, spanish-language positioning, consultation CTA. Website sub-practice signals: deport, removal, citizenship, uscis. Public website email found on http://www.RuizLawyer.com/.",http://www.RuizLawyer.com/,ready_outreach
TX-IMM-00002,"Alonso-Montero, PLLC",http://Adlegalgroup.com/,https://adlegalgroup.com/contact-us,abigail@adlegalgroup.com,,+713-784-2144,Houston,Texas,"Criminal, Environmental, Family, International, Litigation: Personal Injury, Oil, Gas and Energy Resources, Immigration",Mairim Alonso,Principal Attorney,http://www.linkedin.com/pub/mairim-alonso-j-d/15/97a/92b,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Alonso-Montero, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: free consultation, bilingual positioning, spanish-language positioning, consultation CTA. Website sub-practice signals: asylum, removal, naturalization, citizenship. Public website email found on http://Adlegalgroup.com/.",http://Adlegalgroup.com/,ready_outreach
TX-IMM-00003,"Anuj A. Shah, P.C.",http://www.shah-law.com/,http://www.shah-law.com/contact,info@shah-law.com,user@domain.com,+713-975-1128,Houston,Texas,"Administrative and Public, Criminal, Environmental, International, Law Office Management, Other, Immigration",Anuj Arun Shah,Principal Attorney,http://www.linkedin.com/pub/anuj-a-shah-j-d-ph-d/0/290/11a,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: board certified in Immigration and Nationality Law. Texas Bar detail: firm 'Anuj A. Shah, P.C.', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, spanish-language positioning, consultation CTA. Public website email found on http://www.shah-law.com/.",http://www.shah-law.com/,ready_outreach
TX-IMM-00004,Benavides Law Group,http://www.ericbenavides.com/,http://www.ericbenavides.com/contact-us,eric@ericbenavides.com,marijuanadiversionprogram@csc.hctx.net,+713-222-2828,Houston,Texas,"Criminal, Immigration",Eric Joe Benavides,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Benavides Law Group', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: free consultation, consultation CTA. Website sub-practice signals: deport, citizenship. Public website email found on http://www.ericbenavides.com/.",http://www.ericbenavides.com/,ready_outreach
TX-IMM-00005,"De Luna Law Offices, P.C.",http://www.delunafirm.com/,https://www.delunafirm.com/contact-us,inquiry@delunafirm.com,,+713-589-5269,Houston,Texas,Immigration,Maria Oralia De Luna,Principal Attorney,http://www.linkedin.com/in/oralia-de-luna-26b063b,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'De Luna Law Offices, P.C.', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: language translation. Website sub-practice signals: naturalization, visa, waiver. Public website email found on http://www.delunafirm.com/.",http://www.delunafirm.com/,ready_outreach
TX-IMM-00006,"Dinh Law Firm, PC",http://dinhlawfirm.com/,http://dinhlawfirm.com/,info@dinhlawfirm.com,,+281-879-0447,Houston,Texas,"Bankruptcy, Creditor-Debtor, Family, Litigation: Commercial, Litigation: Personal Injury, Immigration",Vu Anh Dinh,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Dinh Law Firm, PC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, free consultation, consultation CTA. Website sub-practice signals: asylum, deport, removal, citizenship. Public website email found on http://dinhlawfirm.com/.",http://dinhlawfirm.com/,ready_outreach
TX-IMM-00007,"Fong Ilagan, LLP",http://www.fonglegal.com/,https://fonglegal.com/contact-v2,info@fonglegal.com,garyilagan@fonglegal.com,+713-772-2300,Houston,Texas,Immigration,Gary J. Ilagan,Principal Attorney,http://www.linkedin.com/in/garyilagan,https://www.linkedin.com/company/fong-&-associates-llp/,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: board certified in Immigration and Nationality Law. Texas Bar detail: firm 'Fong Ilagan, LLP', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, call now, spanish-language positioning, consultation CTA. Website sub-practice signals: asylum, deport, removal, naturalization. Public website email found on http://www.fonglegal.com/.",http://www.fonglegal.com/,ready_outreach
TX-IMM-00008,G. Mesa Law Firm P.C.,http://ginomesalaw.com/,http://ginomesalaw.com/contact,lawofficeofginomesa@yahoo.com,,+713-923-1331,Houston,Texas,"Criminal, Immigration",Gino Mario Mesa,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,https://www.linkedin.com/company/g-mesa-law-firm/,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'G. Mesa Law Firm P.C.', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: free consultation, consultation CTA. Website sub-practice signals: naturalization, visa. Public website email found on http://ginomesalaw.com/.",http://ginomesalaw.com/,ready_outreach
TX-IMM-00009,"Kuteyi Law Group, PLLC",http://www.kuteyilawgroup.com/,http://www.kuteyilawgroup.com/contact,klg@kuteyilawgroup.com,,+832-650-1382,Houston,Texas,"Criminal, Family, Immigration",Tolulope Orobola Kuteyi,Principal Attorney,http://www.linkedin.com/profile/view?id=17412871&locale=en_us&trk=tab_pro,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Kuteyi Law Group, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, call now, consultation CTA. Website sub-practice signals: removal, citizenship. Public website email found on http://www.kuteyilawgroup.com/contact.",http://www.kuteyilawgroup.com/contact,ready_outreach
TX-IMM-00010,Law Office of Alex M. Torres,http://www.alexmtorres.com/,http://www.alexmtorres.com/lawyer/Contact-Us_cp13492.htm,atorres@alexmtorres.com,,+713-662-0400,Houston,Texas,Immigration,Alex Macias Torres,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: board certified in Immigration and Nationality Law. Texas Bar detail: firm 'Law Office of Alex M. Torres', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: language translation. Website sub-practice signals: asylum, deport, removal, citizenship. Public website email found on http://www.alexmtorres.com/lawyer/Contact-Us_cp13492.htm.",http://www.alexmtorres.com/lawyer/Contact-Us_cp13492.htm,ready_outreach
